,Event,Person
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",денис долженко
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",илья лисняк
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",александр серавин
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",рузанна абаджян
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",евгений куцуев
0,"III общероссийская конференция ""Политический маркетинг в интернете и социальных сетях. Опыт лидеров.”",евгения куцуева
0,"Бизнес-завтрак ""Как увеличить поток покупателей за 2 недели""",светлана свиточева
0,MinskJS Meetup #7,виталий зданевич
0,MinskJS Meetup #7,илья запруцкий
0,MinskJS Meetup #7,эдуард титов
0,Семинар «Айтрекинг и другие современные технические средства изучения посетителей музея на экспозиции»,алиса максимова
0,Семинар «Айтрекинг и другие современные технические средства изучения посетителей музея на экспозиции»,ахтамзян н
0,"Онлайн-интенсив ""Marketing superhero""",юлий юрченко
0,"Онлайн-интенсив ""Marketing superhero""",никита прохоров
0,"Онлайн-интенсив ""Marketing superhero""",евгений кузнецов
0,"Онлайн-интенсив ""Marketing superhero""",кумар роман
0,"Онлайн-интенсив ""Marketing superhero""",андрей кузовлев
0,"Онлайн-интенсив ""Marketing superhero""",алексей манихин
0,Открытый урок «Создание электронного курса (ЭОР): от замысла до опытной проверки»,владимир наумов
0,Лекция «Финансовая грамотность в условиях цифровой экономики»,вадим булатов
0,SEMrush meetup #9: маркетолог vs дизайнер,мария никифорова
0,SPECIA Product Meetup #2,даниил широков
0,SPECIA Product Meetup #2,сергей зуев
0,Ecommpay Database Meetup,свет смирнов
0,Ecommpay Database Meetup,владимир федорков
0,Ecommpay Database Meetup,андрей кириленков
0,SPECIA Design Meetup #3,игорь ерешко
0,Макро-польза микро-сервисов. Как поставлять ценность быстро и без факапов?,дмитрий верещагин
0,Макро-польза микро-сервисов. Как поставлять ценность быстро и без факапов?,максим горький
0,Макро-польза микро-сервисов. Как поставлять ценность быстро и без факапов?,александр бидеев
0,"Вебинар ""Новые требования ЦБ РФ (ГОСТ Р 57580) в облаке""",егор бигун
0,Вводное занятие по таргетированной рекламе,светлана ширяева
0,Марафон IT-профессий,мария фокина
0,Марафон IT-профессий,тимофей курилин
0,Марафон IT-профессий,гамида огурлий
0,Марафон IT-профессий,данил гусаров
0,[Мастер-класс] DMA-атаки на практике. Эксплоит через прямой доступ к памяти.,марк ермолов
0,C++-meetup #1,александр андреев
0,C++-meetup #1,александр ермаков
0,Встреча SpbDotNet №57,анатолий жмур
0,"Неделя DH в Петербурге 2020: Картография для тех, кто никогда ей не занимался",мария подкорытова
0,"Неделя DH в Петербурге 2020: Картография для тех, кто никогда ей не занимался",лев толстой
0,Вебинар «Учебный дизайн и качество онлайн-курсов»,владимир наумов
0,Бизнес-завтрак «Современные системы видеоаналитики. Возможности и перспективы для вашего бизнеса»,максим кутузов
0,Бизнес-завтрак «Современные системы видеоаналитики. Возможности и перспективы для вашего бизнеса»,владимир свиридов
0,Бизнес-завтрак «Современные системы видеоаналитики. Возможности и перспективы для вашего бизнеса»,максим горшенин
0,Неделя DH в Петербурге 2020: От сверхчеловека к постчеловеку,антонина пучковская
0,Python Breakfast Moscow #7,коля марков
0,Python Breakfast Moscow #7,вова протасов
0,"Бизнес-завтрак ""Как увеличить поток покупателей за 2 недели""",светлана свиточева
0,Burning Lead Meetup #9,антон плешивцев
0,Burning Lead Meetup #9,вадим яловенко
0,Вебинар «Как определиться с профессией»,виталий телегин
0,Вебинар «Как определиться с профессией»,даниил гусаров
0,Вебинар «Как определиться с профессией»,кристина граль
0,Лекция «Скайнет близко»,александра желтухина
0,Тренировки по машинному обучению в Авито 2.0,илья плотников
0,Тренировки по машинному обучению в Авито 2.0,роман пьянков
0,Тренировки по машинному обучению в Авито 2.0,юрий болконский
0,Perm Product People. Kanban meetup,алексей трещилов
0,Perm Product People. Kanban meetup,алексей пименов
0,Perm Product People. Kanban meetup,алин крицкай
0,Новогодний спринт-тренинг по Scrum за 90 минут,олег чиров
0,Дискуссия о безопасности детей в интернете,елена иванова
0,"Открытый интенсив ""Как начать и сколько зарабатывают в арбитраже трафика?""",артём фесенко
0,"Открытый интенсив ""Как начать и сколько зарабатывают в арбитраже трафика?""",евгений зайцев
0,"Открытый интенсив ""Как начать и сколько зарабатывают в арбитраже трафика?""",анна бугриева
0,"Открытый интенсив ""Как начать и сколько зарабатывают в арбитраже трафика?""",алесандр яковлев
0,"Открытый интенсив ""Как начать и сколько зарабатывают в арбитраже трафика?""",игорь шеньшин
0,Как провести интервью с пользователями. Практика-интенсив,елена арсеньева
0,Как провести интервью с пользователями. Практика-интенсив,оксана рыбалкина
